inst#,actual,predicted,error,prediction
3977,1:?,1:yes,,0.976
3978,1:?,1:yes,,0.972
3979,1:?,1:yes,,0.829
3980,1:?,1:yes,,1
3981,1:?,1:yes,,1
3982,1:?,1:yes,,0.954
3983,1:?,1:yes,,0.666
3984,1:?,1:yes,,0.874
3985,1:?,1:yes,,1
3986,1:?,1:yes,,0.999
3987,1:?,1:yes,,0.93
3988,1:?,1:yes,,0.911
3989,1:?,1:yes,,1
3990,1:?,1:yes,,1
3991,1:?,1:yes,,0.986
3992,1:?,1:yes,,0.837
3993,1:?,1:yes,,0.998
3994,1:?,2:no,,0.66
3995,1:?,1:yes,,0.959
3996,1:?,1:yes,,0.989
3997,1:?,1:yes,,0.722
3998,1:?,1:yes,,1
3999,1:?,1:yes,,0.96
4000,1:?,1:yes,,0.956
4001,1:?,1:yes,,1
4002,1:?,1:yes,,1
4003,1:?,1:yes,,0.938
4004,1:?,1:yes,,1
4005,1:?,1:yes,,0.999
4006,1:?,1:yes,,0.962
4007,1:?,1:yes,,1
4008,1:?,1:yes,,0.955
4009,1:?,1:yes,,0.98
4010,1:?,1:yes,,0.998
4011,1:?,1:yes,,1
4012,1:?,1:yes,,0.967
4013,1:?,1:yes,,0.977
4014,1:?,1:yes,,1
4015,1:?,1:yes,,0.984
4016,1:?,1:yes,,0.935
4017,1:?,1:yes,,1
4018,1:?,1:yes,,1
4019,1:?,1:yes,,1
4020,1:?,1:yes,,0.992
4021,1:?,1:yes,,0.823
4022,1:?,2:no,,0.872
4023,1:?,1:yes,,1
4024,1:?,1:yes,,0.982
4025,1:?,1:yes,,0.968
4026,1:?,1:yes,,0.988
4027,1:?,1:yes,,1
4028,1:?,1:yes,,0.947
4029,1:?,1:yes,,1
4030,1:?,1:yes,,0.97
4031,1:?,1:yes,,1
4032,1:?,2:no,,0.976
4033,1:?,1:yes,,1
4034,1:?,1:yes,,0.952
4035,1:?,1:yes,,0.993
4036,1:?,1:yes,,0.983
4037,1:?,1:yes,,0.977
4038,1:?,1:yes,,0.944
4039,1:?,1:yes,,1
4040,1:?,1:yes,,0.946
4041,1:?,1:yes,,0.987
4042,1:?,1:yes,,0.993
4043,1:?,1:yes,,1
4044,1:?,1:yes,,1
4045,1:?,1:yes,,1
4046,1:?,1:yes,,0.95
4047,1:?,1:yes,,1
4048,1:?,1:yes,,1
4049,1:?,2:no,,0.933
4050,1:?,1:yes,,0.864
4051,1:?,1:yes,,0.982
4052,1:?,1:yes,,1
4053,1:?,1:yes,,0.986
4054,1:?,2:no,,1
4055,1:?,1:yes,,0.938
4056,1:?,1:yes,,1
4057,1:?,1:yes,,0.987
4058,1:?,1:yes,,0.936
4059,1:?,1:yes,,0.949
4060,1:?,1:yes,,1
4061,1:?,1:yes,,1
4062,1:?,1:yes,,0.992
4063,1:?,1:yes,,0.724
4064,1:?,1:yes,,0.973
4065,1:?,1:yes,,1
4066,1:?,1:yes,,1
4067,1:?,1:yes,,0.764
4068,1:?,1:yes,,0.937
4069,1:?,2:no,,0.896
4070,1:?,1:yes,,1
4071,1:?,1:yes,,1
4072,1:?,1:yes,,1
4073,1:?,1:yes,,1
4074,1:?,1:yes,,1
4075,1:?,1:yes,,0.955
4076,1:?,1:yes,,1
4077,1:?,1:yes,,0.99
4078,1:?,1:yes,,0.952
4079,1:?,1:yes,,0.998
4080,1:?,1:yes,,0.999
4081,1:?,1:yes,,0.665
4082,1:?,1:yes,,0.833
4083,1:?,1:yes,,0.944
4084,1:?,1:yes,,0.997
4085,1:?,1:yes,,1
4086,1:?,1:yes,,0.824
4087,1:?,1:yes,,1
4088,1:?,1:yes,,0.958
4089,1:?,1:yes,,0.988
4090,1:?,2:no,,0.507
4091,1:?,1:yes,,0.963
4092,1:?,1:yes,,0.97
4093,1:?,1:yes,,0.969
4094,1:?,1:yes,,0.974
4095,1:?,1:yes,,0.978
4096,1:?,1:yes,,1
4097,1:?,1:yes,,1
4098,1:?,1:yes,,1
4099,1:?,1:yes,,1
4100,1:?,1:yes,,0.951
4101,1:?,1:yes,,0.99
4102,1:?,1:yes,,1
4103,1:?,1:yes,,1
4104,1:?,1:yes,,1
4105,1:?,1:yes,,0.962
4106,1:?,1:yes,,1
4107,1:?,1:yes,,0.999
4108,1:?,1:yes,,0.857
4109,1:?,1:yes,,1
4110,1:?,1:yes,,0.946
4111,1:?,1:yes,,0.977
4112,1:?,2:no,,0.735
4113,1:?,1:yes,,1
4114,1:?,1:yes,,0.987
4115,1:?,1:yes,,1
4116,1:?,1:yes,,0.873
4117,1:?,1:yes,,1
4118,1:?,1:yes,,1
4119,1:?,1:yes,,1
4120,1:?,1:yes,,0.979
4121,1:?,1:yes,,0.936
4122,1:?,1:yes,,1
4123,1:?,1:yes,,0.998
4124,1:?,1:yes,,1
4125,1:?,1:yes,,1
4126,1:?,1:yes,,1
4127,1:?,1:yes,,1
4128,1:?,1:yes,,1
4129,1:?,1:yes,,0.98
4130,1:?,1:yes,,0.999
4131,1:?,1:yes,,0.969
4132,1:?,1:yes,,0.987
4133,1:?,1:yes,,1
4134,1:?,1:yes,,1
4135,1:?,1:yes,,1
4136,1:?,1:yes,,0.988
4137,1:?,1:yes,,0.94
4138,1:?,1:yes,,0.999
4139,1:?,1:yes,,0.995
4140,1:?,1:yes,,0.968
4141,1:?,1:yes,,0.923
4142,1:?,1:yes,,0.947
4143,1:?,1:yes,,0.941
4144,1:?,2:no,,0.747
4145,1:?,1:yes,,0.944
4146,1:?,1:yes,,0.981
4147,1:?,1:yes,,1
4148,1:?,2:no,,0.95
4149,1:?,1:yes,,1
4150,1:?,1:yes,,1
4151,1:?,1:yes,,0.999
4152,1:?,1:yes,,1
4153,1:?,1:yes,,0.941
4154,1:?,1:yes,,1
4155,1:?,1:yes,,1
4156,1:?,1:yes,,0.952
4157,1:?,1:yes,,1
4158,1:?,1:yes,,0.956
4159,1:?,1:yes,,1
4160,1:?,1:yes,,0.998
4161,1:?,1:yes,,1
4162,1:?,1:yes,,0.999
4163,1:?,1:yes,,0.975
4164,1:?,1:yes,,0.954
4165,1:?,1:yes,,1
4166,1:?,1:yes,,1
4167,1:?,1:yes,,0.967
4168,1:?,1:yes,,0.938
4169,1:?,1:yes,,0.939
4170,1:?,1:yes,,1
4171,1:?,1:yes,,1
4172,1:?,1:yes,,0.974
4173,1:?,1:yes,,1
4174,1:?,1:yes,,1
4175,1:?,1:yes,,0.961
4176,1:?,1:yes,,1
4177,1:?,1:yes,,1
4178,1:?,1:yes,,0.974
4179,1:?,1:yes,,0.941
4180,1:?,1:yes,,0.927
4181,1:?,1:yes,,1
4182,1:?,2:no,,0.825
4183,1:?,1:yes,,0.966
4184,1:?,1:yes,,1
4185,1:?,1:yes,,1
4186,1:?,1:yes,,0.949
4187,1:?,1:yes,,0.953
4188,1:?,2:no,,0.991
4189,1:?,1:yes,,1
4190,1:?,1:yes,,0.809
4191,1:?,1:yes,,1
4192,1:?,1:yes,,1
4193,1:?,2:no,,0.827
4194,1:?,1:yes,,1
4195,1:?,1:yes,,1
4196,1:?,1:yes,,1
4197,1:?,1:yes,,1
4198,1:?,1:yes,,1
4199,1:?,1:yes,,0.99
4200,1:?,1:yes,,0.996
4201,1:?,1:yes,,0.935
4202,1:?,1:yes,,0.947
4203,1:?,1:yes,,0.941
4204,1:?,1:yes,,0.989
4205,1:?,1:yes,,0.958
4206,1:?,1:yes,,0.931
4207,1:?,1:yes,,0.84
4208,1:?,1:yes,,0.949
4209,1:?,1:yes,,0.923
4210,1:?,1:yes,,0.999
4211,1:?,1:yes,,0.776
4212,1:?,1:yes,,1
4213,1:?,1:yes,,0.994
4214,1:?,1:yes,,0.993
4215,1:?,1:yes,,0.877
4216,1:?,1:yes,,1
4217,1:?,1:yes,,0.999
4218,1:?,1:yes,,1
4219,1:?,1:yes,,0.985
4220,1:?,1:yes,,0.954
4221,1:?,1:yes,,0.994
4222,1:?,1:yes,,0.97
4223,1:?,1:yes,,1
4224,1:?,1:yes,,0.98
4225,1:?,1:yes,,1
4226,1:?,1:yes,,0.923
4227,1:?,1:yes,,1
4228,1:?,1:yes,,0.979
4229,1:?,1:yes,,1
4230,1:?,1:yes,,0.999
4231,1:?,2:no,,1
4232,1:?,1:yes,,0.977
4233,1:?,1:yes,,0.947
4234,1:?,1:yes,,0.998
4235,1:?,1:yes,,1
4236,1:?,1:yes,,0.952
4237,1:?,1:yes,,0.811
4238,1:?,1:yes,,0.928
4239,1:?,1:yes,,0.978
4240,1:?,1:yes,,0.999
4241,1:?,1:yes,,0.999
4242,1:?,1:yes,,0.992
4243,1:?,1:yes,,0.989
4244,1:?,1:yes,,1
4245,1:?,1:yes,,0.942
4246,1:?,1:yes,,0.947
4247,1:?,1:yes,,0.955
4248,1:?,1:yes,,1
4249,1:?,1:yes,,0.968
4250,1:?,1:yes,,0.978
4251,1:?,1:yes,,0.952
4252,1:?,1:yes,,0.983
4253,1:?,1:yes,,1
4254,1:?,1:yes,,0.99
4255,1:?,1:yes,,0.996
4256,1:?,1:yes,,0.956
4257,1:?,1:yes,,1
4258,1:?,1:yes,,1
4259,1:?,1:yes,,0.829
4260,1:?,1:yes,,1
4261,1:?,1:yes,,0.942
4262,1:?,1:yes,,1
4263,1:?,1:yes,,1
4264,1:?,1:yes,,0.993
4265,1:?,1:yes,,0.942
4266,1:?,1:yes,,0.944
4267,1:?,1:yes,,1
4268,1:?,1:yes,,0.996
4269,1:?,1:yes,,1
4270,1:?,1:yes,,1
4271,1:?,1:yes,,1
4272,1:?,2:no,,0.57
4273,1:?,1:yes,,0.989
4274,1:?,1:yes,,0.98
4275,1:?,1:yes,,0.865
4276,1:?,1:yes,,0.848
4277,1:?,1:yes,,1
4278,1:?,1:yes,,1
4279,1:?,1:yes,,0.945
4280,1:?,1:yes,,0.946
4281,1:?,1:yes,,0.953
4282,1:?,1:yes,,1
4283,1:?,1:yes,,1
4284,1:?,1:yes,,0.993
4285,1:?,1:yes,,0.946
4286,1:?,1:yes,,0.998
4287,1:?,1:yes,,1
4288,1:?,1:yes,,0.97
4289,1:?,1:yes,,1
4290,1:?,1:yes,,0.916
4291,1:?,1:yes,,1
4292,1:?,1:yes,,0.95
4293,1:?,1:yes,,1
4294,1:?,1:yes,,1
4295,1:?,1:yes,,0.94
4296,1:?,1:yes,,1
4297,1:?,1:yes,,0.998
4298,1:?,1:yes,,1
4299,1:?,1:yes,,0.93
4300,1:?,1:yes,,0.944
4301,1:?,1:yes,,1
4302,1:?,1:yes,,0.966
4303,1:?,1:yes,,0.938
4304,1:?,1:yes,,0.966
4305,1:?,1:yes,,0.995
4306,1:?,1:yes,,0.908
4307,1:?,1:yes,,0.986
4308,1:?,1:yes,,0.945
4309,1:?,2:no,,0.959
4310,1:?,1:yes,,0.941
4311,1:?,1:yes,,0.834
4312,1:?,1:yes,,0.988
4313,1:?,1:yes,,0.718
4314,1:?,1:yes,,0.999
4315,1:?,1:yes,,0.987
4316,1:?,1:yes,,0.995
4317,1:?,1:yes,,1
4318,1:?,1:yes,,0.605
4319,1:?,1:yes,,0.97
4320,1:?,1:yes,,0.881
4321,1:?,1:yes,,0.96
4322,1:?,1:yes,,0.912
4323,1:?,1:yes,,0.997
4324,1:?,1:yes,,0.944
4325,1:?,1:yes,,1
4326,1:?,1:yes,,0.946
4327,1:?,1:yes,,0.981
4328,1:?,1:yes,,0.943
4329,1:?,2:no,,0.984
4330,1:?,1:yes,,0.801
4331,1:?,1:yes,,0.955
4332,1:?,1:yes,,0.972
4333,1:?,1:yes,,0.993
4334,1:?,1:yes,,0.959
4335,1:?,1:yes,,1
4336,1:?,1:yes,,0.94
4337,1:?,1:yes,,1
4338,1:?,1:yes,,1
4339,1:?,1:yes,,1
4340,1:?,1:yes,,1
4341,1:?,1:yes,,0.936
4342,1:?,2:no,,0.843
4343,1:?,1:yes,,1
4344,1:?,1:yes,,0.993
4345,1:?,1:yes,,1
4346,1:?,1:yes,,1
4347,1:?,1:yes,,0.953
4348,1:?,1:yes,,0.968
4349,1:?,1:yes,,0.999
4350,1:?,1:yes,,0.999
4351,1:?,1:yes,,0.973
4352,1:?,1:yes,,1
4353,1:?,1:yes,,0.964
4354,1:?,1:yes,,0.755
4355,1:?,1:yes,,1
4356,1:?,1:yes,,0.961
4357,1:?,1:yes,,0.988
4358,1:?,1:yes,,0.977
4359,1:?,1:yes,,0.947
4360,1:?,1:yes,,0.881
4361,1:?,1:yes,,0.993
4362,1:?,2:no,,0.862
4363,1:?,1:yes,,0.939
4364,1:?,1:yes,,0.855
4365,1:?,1:yes,,0.984
4366,1:?,1:yes,,0.838
4367,1:?,1:yes,,0.976
4368,1:?,1:yes,,0.991
4369,1:?,1:yes,,1
4370,1:?,1:yes,,1
4371,1:?,1:yes,,0.997
4372,1:?,1:yes,,0.968
4373,1:?,1:yes,,0.998
4374,1:?,1:yes,,0.993
4375,1:?,1:yes,,0.994
4376,1:?,1:yes,,0.991
4377,1:?,1:yes,,0.984
4378,1:?,1:yes,,0.968
4379,1:?,1:yes,,1
4380,1:?,2:no,,0.742
4381,1:?,1:yes,,0.971
4382,1:?,1:yes,,0.953
4383,1:?,1:yes,,1
4384,1:?,2:no,,0.994
4385,1:?,1:yes,,0.957
4386,1:?,1:yes,,0.866
4387,1:?,1:yes,,0.991
4388,1:?,1:yes,,0.944
4389,1:?,1:yes,,1
4390,1:?,1:yes,,0.98
4391,1:?,1:yes,,0.701
4392,1:?,1:yes,,0.999
4393,1:?,1:yes,,0.961
4394,1:?,1:yes,,1
4395,1:?,1:yes,,1
4396,1:?,1:yes,,0.995
4397,1:?,1:yes,,0.946
4398,1:?,1:yes,,0.999
4399,1:?,1:yes,,0.99
4400,1:?,2:no,,0.874
4401,1:?,1:yes,,1
4402,1:?,1:yes,,0.94
4403,1:?,1:yes,,0.965
4404,1:?,1:yes,,1
4405,1:?,1:yes,,0.999
4406,1:?,1:yes,,0.949
4407,1:?,1:yes,,0.929
4408,1:?,1:yes,,0.994
4409,1:?,2:no,,0.8
4410,1:?,2:no,,0.883
4411,1:?,1:yes,,0.946
4412,1:?,1:yes,,0.924
4413,1:?,1:yes,,1
4414,1:?,1:yes,,0.959
4415,1:?,2:no,,0.802
4416,1:?,1:yes,,1
4417,1:?,1:yes,,0.983
4418,1:?,1:yes,,0.772
4419,1:?,1:yes,,1
4420,1:?,1:yes,,1
4421,1:?,1:yes,,1
4422,1:?,1:yes,,0.941
4423,1:?,1:yes,,1
4424,1:?,1:yes,,1
4425,1:?,1:yes,,0.99
4426,1:?,1:yes,,0.947
4427,1:?,1:yes,,0.996
4428,1:?,1:yes,,0.585
4429,1:?,1:yes,,0.946
4430,1:?,1:yes,,0.994
4431,1:?,1:yes,,0.703
4432,1:?,1:yes,,0.944
4433,1:?,1:yes,,0.947
4434,1:?,1:yes,,1
4435,1:?,1:yes,,0.987
4436,1:?,1:yes,,0.977
4437,1:?,1:yes,,1
4438,1:?,1:yes,,0.981
4439,1:?,1:yes,,0.801
4440,1:?,1:yes,,0.983
4441,1:?,1:yes,,1
4442,1:?,1:yes,,0.944
4443,1:?,1:yes,,1
4444,1:?,1:yes,,0.916
4445,1:?,1:yes,,1
4446,1:?,1:yes,,0.948
4447,1:?,1:yes,,0.996
4448,1:?,1:yes,,1
4449,1:?,1:yes,,0.974
4450,1:?,1:yes,,0.859
4451,1:?,1:yes,,0.884
4452,1:?,1:yes,,1
4453,1:?,1:yes,,0.93
4454,1:?,1:yes,,1
4455,1:?,1:yes,,0.99
4456,1:?,1:yes,,0.984
4457,1:?,1:yes,,0.976
4458,1:?,1:yes,,0.941
4459,1:?,1:yes,,0.987
4460,1:?,2:no,,0.536
4461,1:?,1:yes,,1
4462,1:?,1:yes,,0.942
4463,1:?,1:yes,,0.97
4464,1:?,1:yes,,0.973
4465,1:?,1:yes,,0.991
4466,1:?,1:yes,,0.869
4467,1:?,1:yes,,0.922
4468,1:?,1:yes,,1
4469,1:?,1:yes,,0.986
4470,1:?,1:yes,,1
4471,1:?,1:yes,,0.976
4472,1:?,1:yes,,0.999
4473,1:?,1:yes,,1
4474,1:?,1:yes,,0.975
4475,1:?,1:yes,,0.968
4476,1:?,1:yes,,0.945
4477,1:?,1:yes,,1
4478,1:?,1:yes,,0.97
4479,1:?,1:yes,,0.97
4480,1:?,1:yes,,0.932
4481,1:?,1:yes,,1
4482,1:?,1:yes,,0.957
4483,1:?,1:yes,,0.95
4484,1:?,1:yes,,0.998
4485,1:?,1:yes,,0.851
4486,1:?,1:yes,,0.968
4487,1:?,2:no,,0.922
4488,1:?,1:yes,,1
4489,1:?,1:yes,,0.985
4490,1:?,2:no,,0.918
4491,1:?,1:yes,,0.976
4492,1:?,1:yes,,1
4493,1:?,1:yes,,0.932
4494,1:?,1:yes,,0.985
4495,1:?,1:yes,,0.968
4496,1:?,1:yes,,0.996
4497,1:?,1:yes,,1
4498,1:?,1:yes,,0.927
4499,1:?,1:yes,,1
4500,1:?,1:yes,,1
4501,1:?,2:no,,0.971
4502,1:?,1:yes,,1
4503,1:?,1:yes,,0.987
4504,1:?,1:yes,,0.942
4505,1:?,1:yes,,0.981
4506,1:?,1:yes,,0.973
4507,1:?,1:yes,,0.994
4508,1:?,1:yes,,1
4509,1:?,1:yes,,0.944
4510,1:?,1:yes,,0.97
4511,1:?,1:yes,,0.941
4512,1:?,1:yes,,0.955
4513,1:?,1:yes,,0.991
4514,1:?,1:yes,,0.983
4515,1:?,1:yes,,0.979
4516,1:?,1:yes,,0.954
4517,1:?,1:yes,,1
4518,1:?,1:yes,,1
4519,1:?,1:yes,,0.977
4520,1:?,1:yes,,1
4521,1:?,1:yes,,0.998
4522,1:?,1:yes,,0.991
4523,1:?,1:yes,,0.99
4524,1:?,1:yes,,1
4525,1:?,1:yes,,0.94
4526,1:?,1:yes,,0.969
4527,1:?,1:yes,,1
4528,1:?,1:yes,,0.672
4529,1:?,1:yes,,0.941
4530,1:?,1:yes,,1
4531,1:?,1:yes,,0.929
4532,1:?,1:yes,,1
4533,1:?,1:yes,,0.986
4534,1:?,1:yes,,0.999
4535,1:?,1:yes,,0.996
4536,1:?,2:no,,0.902
4537,1:?,1:yes,,1
4538,1:?,1:yes,,0.999
4539,1:?,1:yes,,1
4540,1:?,1:yes,,0.838
4541,1:?,1:yes,,1
4542,1:?,1:yes,,0.935
4543,1:?,1:yes,,0.943
4544,1:?,1:yes,,0.847
4545,1:?,1:yes,,0.816
4546,1:?,1:yes,,0.986
4547,1:?,1:yes,,0.97
4548,1:?,1:yes,,1
4549,1:?,1:yes,,1
4550,1:?,1:yes,,0.969
4551,1:?,1:yes,,0.911
4552,1:?,1:yes,,1
4553,1:?,1:yes,,0.999
4554,1:?,1:yes,,1
4555,1:?,1:yes,,1
4556,1:?,1:yes,,1
4557,1:?,1:yes,,1
4558,1:?,1:yes,,0.938
4559,1:?,1:yes,,1
4560,1:?,1:yes,,0.944
4561,1:?,1:yes,,0.961
4562,1:?,1:yes,,0.899
4563,1:?,1:yes,,1
4564,1:?,1:yes,,1
4565,1:?,1:yes,,0.991
4566,1:?,1:yes,,0.921
4567,1:?,1:yes,,0.998
4568,1:?,1:yes,,1
4569,1:?,1:yes,,0.986
4570,1:?,1:yes,,1
4571,1:?,1:yes,,0.96
4572,1:?,1:yes,,1
4573,1:?,1:yes,,1
4574,1:?,1:yes,,1
4575,1:?,1:yes,,0.679
4576,1:?,1:yes,,1
4577,1:?,2:no,,0.969
4578,1:?,1:yes,,0.545
4579,1:?,1:yes,,0.984
4580,1:?,1:yes,,0.859
4581,1:?,1:yes,,0.975
4582,1:?,1:yes,,0.864
4583,1:?,1:yes,,0.824
4584,1:?,1:yes,,1
4585,1:?,1:yes,,0.945
4586,1:?,1:yes,,1
4587,1:?,2:no,,0.98
4588,1:?,1:yes,,0.996
4589,1:?,1:yes,,1
4590,1:?,1:yes,,0.951
4591,1:?,1:yes,,0.937
4592,1:?,1:yes,,1
4593,1:?,1:yes,,0.949
4594,1:?,1:yes,,0.979
4595,1:?,1:yes,,1
4596,1:?,1:yes,,0.995
4597,1:?,1:yes,,0.995
4598,1:?,1:yes,,0.972
4599,1:?,1:yes,,1
4600,1:?,1:yes,,1
4601,1:?,1:yes,,1
4602,1:?,1:yes,,0.994
4603,1:?,1:yes,,1
4604,1:?,1:yes,,1
4605,1:?,1:yes,,1
4606,1:?,1:yes,,1
4607,1:?,1:yes,,0.987
4608,1:?,1:yes,,1
4609,1:?,1:yes,,1
4610,1:?,1:yes,,1
4611,1:?,1:yes,,0.945
4612,1:?,1:yes,,1
4613,1:?,1:yes,,0.953
4614,1:?,1:yes,,1
4615,1:?,1:yes,,0.974
4616,1:?,1:yes,,0.931
4617,1:?,1:yes,,0.935
4618,1:?,1:yes,,1
4619,1:?,2:no,,0.734
4620,1:?,1:yes,,0.979
4621,1:?,1:yes,,1
4622,1:?,1:yes,,0.986
4623,1:?,1:yes,,1
4624,1:?,2:no,,0.988
4625,1:?,2:no,,1
4626,1:?,1:yes,,0.922
4627,1:?,1:yes,,1
4628,1:?,1:yes,,1
4629,1:?,1:yes,,1
4630,1:?,1:yes,,0.993
4631,1:?,1:yes,,0.975
4632,1:?,1:yes,,1
4633,1:?,1:yes,,1
4634,1:?,1:yes,,0.97
4635,1:?,1:yes,,1
4636,1:?,1:yes,,0.874
4637,1:?,1:yes,,0.975
4638,1:?,1:yes,,0.972
4639,1:?,1:yes,,0.942
4640,1:?,2:no,,0.988
4641,1:?,1:yes,,0.947
4642,1:?,1:yes,,1
4643,1:?,1:yes,,0.964
4644,1:?,1:yes,,0.93
4645,1:?,1:yes,,1
4646,1:?,2:no,,0.994
4647,1:?,1:yes,,0.99
4648,1:?,1:yes,,0.97
4649,1:?,1:yes,,0.961
4650,1:?,1:yes,,0.984
4651,1:?,2:no,,0.992
4652,1:?,1:yes,,0.978
4653,1:?,2:no,,0.984
4654,1:?,1:yes,,0.994
4655,1:?,1:yes,,1
4656,1:?,1:yes,,1
4657,1:?,1:yes,,0.911
4658,1:?,1:yes,,0.955
4659,1:?,1:yes,,0.953
4660,1:?,1:yes,,0.978
4661,1:?,1:yes,,0.989
4662,1:?,1:yes,,0.982
4663,1:?,1:yes,,1
4664,1:?,1:yes,,1
4665,1:?,1:yes,,1
4666,1:?,1:yes,,0.984
4667,1:?,1:yes,,0.975
4668,1:?,1:yes,,1
4669,1:?,1:yes,,0.931
4670,1:?,1:yes,,1
4671,1:?,1:yes,,1
4672,1:?,1:yes,,0.946
4673,1:?,1:yes,,0.997
4674,1:?,1:yes,,0.936
4675,1:?,1:yes,,1
4676,1:?,1:yes,,1
4677,1:?,1:yes,,1
4678,1:?,1:yes,,1
4679,1:?,1:yes,,0.975
4680,1:?,1:yes,,0.953
4681,1:?,1:yes,,1
4682,1:?,1:yes,,1
4683,1:?,1:yes,,0.944
4684,1:?,1:yes,,0.954
4685,1:?,1:yes,,1
4686,1:?,1:yes,,0.989
4687,1:?,1:yes,,0.96
4688,1:?,1:yes,,0.973
4689,1:?,1:yes,,1
4690,1:?,1:yes,,0.999
4691,1:?,1:yes,,1
4692,1:?,1:yes,,0.975
4693,1:?,1:yes,,0.997
4694,1:?,1:yes,,0.731
4695,1:?,1:yes,,0.933
4696,1:?,1:yes,,0.999
4697,1:?,1:yes,,1
4698,1:?,1:yes,,1
4699,1:?,1:yes,,1
4700,1:?,2:no,,0.956
4701,1:?,1:yes,,0.954
4702,1:?,1:yes,,1
4703,1:?,1:yes,,0.989
4704,1:?,1:yes,,1
4705,1:?,1:yes,,1
4706,1:?,1:yes,,1
4707,1:?,1:yes,,0.941
4708,1:?,1:yes,,1
4709,1:?,1:yes,,0.958
4710,1:?,1:yes,,0.937
4711,1:?,1:yes,,0.984
4712,1:?,1:yes,,0.954
4713,1:?,2:no,,0.74
4714,1:?,1:yes,,0.996
4715,1:?,1:yes,,1
4716,1:?,2:no,,0.932
4717,1:?,1:yes,,1
4718,1:?,1:yes,,1
4719,1:?,1:yes,,0.982
4720,1:?,1:yes,,0.868
4721,1:?,1:yes,,0.887
4722,1:?,1:yes,,0.978
4723,1:?,1:yes,,0.948
4724,1:?,1:yes,,1
4725,1:?,1:yes,,0.945
4726,1:?,1:yes,,0.803
4727,1:?,2:no,,0.767
4728,1:?,1:yes,,1
4729,1:?,1:yes,,0.999
4730,1:?,1:yes,,0.844
4731,1:?,1:yes,,0.968
4732,1:?,1:yes,,1
4733,1:?,1:yes,,0.943
4734,1:?,1:yes,,0.825
4735,1:?,1:yes,,0.916
4736,1:?,1:yes,,0.996
4737,1:?,1:yes,,0.942
4738,1:?,1:yes,,1
4739,1:?,2:no,,0.698
4740,1:?,1:yes,,0.985
4741,1:?,1:yes,,0.998
4742,1:?,1:yes,,0.961
4743,1:?,1:yes,,1
4744,1:?,1:yes,,1
4745,1:?,1:yes,,1
4746,1:?,1:yes,,1
4747,1:?,1:yes,,0.998
4748,1:?,1:yes,,1
4749,1:?,1:yes,,0.89
4750,1:?,1:yes,,0.978
4751,1:?,1:yes,,1
4752,1:?,1:yes,,0.983
4753,1:?,1:yes,,0.995
4754,1:?,1:yes,,1
4755,1:?,1:yes,,1
4756,1:?,2:no,,0.987
4757,1:?,1:yes,,0.99
4758,1:?,1:yes,,0.842
4759,1:?,1:yes,,1
4760,1:?,1:yes,,1
4761,1:?,1:yes,,1
4762,1:?,1:yes,,1
4763,1:?,1:yes,,0.99
4764,1:?,1:yes,,1
4765,1:?,1:yes,,1
4766,1:?,1:yes,,1
4767,1:?,1:yes,,1
4768,1:?,1:yes,,0.822
4769,1:?,1:yes,,1
4770,1:?,1:yes,,0.995
4771,1:?,1:yes,,0.987
4772,1:?,1:yes,,1
4773,1:?,1:yes,,0.975
4774,1:?,1:yes,,0.999
4775,1:?,1:yes,,0.998
4776,1:?,1:yes,,1
4777,1:?,1:yes,,0.984
4778,1:?,1:yes,,0.998
4779,1:?,1:yes,,0.942
4780,1:?,2:no,,0.598
4781,1:?,1:yes,,1
4782,1:?,1:yes,,0.944
4783,1:?,1:yes,,0.861
4784,1:?,1:yes,,1
4785,1:?,2:no,,0.898
4786,1:?,1:yes,,0.999
4787,1:?,1:yes,,0.998
4788,1:?,1:yes,,1
4789,1:?,1:yes,,1
4790,1:?,1:yes,,1
4791,1:?,2:no,,0.695
4792,1:?,1:yes,,0.867
4793,1:?,1:yes,,0.995
4794,1:?,1:yes,,0.991
4795,1:?,1:yes,,0.959
4796,1:?,1:yes,,0.954
4797,1:?,1:yes,,0.999
4798,1:?,1:yes,,1
4799,1:?,1:yes,,0.908
4800,1:?,1:yes,,0.993
4801,1:?,1:yes,,1
4802,1:?,1:yes,,0.943
4803,1:?,1:yes,,0.953
4804,1:?,1:yes,,1
4805,1:?,1:yes,,1
4806,1:?,1:yes,,0.786
4807,1:?,1:yes,,0.916
4808,1:?,1:yes,,0.952
4809,1:?,1:yes,,0.967
4810,1:?,2:no,,1
4811,1:?,1:yes,,0.978
4812,1:?,1:yes,,1
4813,1:?,1:yes,,0.937
4814,1:?,1:yes,,0.981
4815,1:?,1:yes,,0.996
4816,1:?,1:yes,,0.674
4817,1:?,1:yes,,1
4818,1:?,1:yes,,0.971
4819,1:?,1:yes,,1
4820,1:?,1:yes,,0.929
4821,1:?,1:yes,,0.941
4822,1:?,1:yes,,1
4823,1:?,1:yes,,1
4824,1:?,1:yes,,0.945
4825,1:?,1:yes,,0.95
4826,1:?,1:yes,,0.962
4827,1:?,1:yes,,1
4828,1:?,1:yes,,0.99
4829,1:?,1:yes,,0.999
4830,1:?,1:yes,,0.928
4831,1:?,1:yes,,0.949
4832,1:?,1:yes,,1
4833,1:?,1:yes,,0.994
4834,1:?,1:yes,,1
4835,1:?,1:yes,,0.999
4836,1:?,1:yes,,1
