indiv_nurse,screen_name,username,tweets,followers,following,SA,bio
,@nanayaw_junior,C.H.E.L.S.E.A F.C,104,39,223,604,A great fun of chelsea football club and also a student nurse trying to achieve ma goal..loves football alot and a mere goal keeper to be precise
,@RNnightingale,Debra Curley,174,54,145,"1,654",Love being a Nurse. Kinda an adrenalin junkie. Currently working in the Emergency Department at Hopi Health Care Center.
,@eyemnuts,Rick Keyser,144,133,682,"2,564","Psychiatric Nurse Practitioner, humanitarian, former serial killer, recovering adolescent. I like bacon in ice cream."
,@micha3lhanz,ichael Hanzel,160,41,134,715,Lake Catholic Alumni ۢ Notre Dame College ۢ Nursing Major ۢ Class of 2018 ۢ A form doesn't tell you who you are; that is defined by you. ~ Sarah Rafferty
,@psychocowgirl,Nurse Ratched,121,38,302,"2,433","mental helper, animal lover and veggie.. hate sea world and BSL. .......owned for life by staffies..... because they are probably the best dogs in the world"
,@FairyFlairParty,Fairy Flair Parties,137,434,747,"1,266","Mum of 2 inquisitive girls who love adventure. Left a career in Nursing to focus on Fairy Flair Parties, where children really do see Fairies."
,@IToChange,Ninja Nurse,186,77,192,"1,017",#Mom #Nurse #MartialArts #MyLife. H: 5'5 SW: 154 CW: 135 GW: Whatever gets me a 6pack abs and over all toned and fit :)
,@Sparky3689,Sara Elizabeth Brown,123,36,106,"2,369","RN, Nurse Supervisor; It Works Global Distributor!!! I love what I do!!! _"
,@robynkoschinsky,Robyn Koschinsky,112,53,126,"1,624","Psychiatric nurse, animal lover, comedy queen."
,@Kathycemley,Kathy Wills Emley,107,8,12,"1,590",Im a Home Health nurse for special needs kids. I love my job. Its not a job its my life. Mt grandbaby Rai Rai is special needs too.
,@yenny_nasution,Yenny Irdayani,108,59,112,"1,830",Nursing academy of poltekkes Medan '13| 10 April 1995
,@AlanaCrawford_x,Alana Crawford,123,66,99,579,Student Nurse from Northern Ireland living in Manchester. 21. :)
,@laserrn,Shannon S. ODonoghue,197,70,181,"2,354",14 year experienced Clinical Nurse Application Specialist RN BSN and Trainer for Cutera Lasers & Light. Love teaching and training Laser!
,@onetangirl38,Tanya L King,166,54,444,"2,190","I'm a nursing student in the South. I love my family, friends, fitness & football! Is it September yet? Roll Tide"
,@Maggie_Langrell,Maggie Langrell,108,92,77,"1,119",Nursing student and Teen Choir Director at BMBC! Loving my life and everyone in it!
,@agingisanoption,Aesthetic and Laser,199,477,107,"2,149","The Aesthetic & Laser Center۪s nurses and aestheticians are experienced in the latest techniques to help restore, contour and rejuvenate your skin."
,@Baxter01929545,Madison Baxter,120,2,23,"1,077",Saving Lives - Trauma Registered Nurse
,@wow_its_monika,Monika Toldness,117,11,58,"1,929","Nursing student extraordinaire by day, closet rock star by night. Jk."
,@EugeneStaffing,MaximStaffingEugene,167,9,29,"2,191","Maxim Staffing Solutions is a leading nationwide provider of staffing services for Nurses, Allied Health Professionals, and Administrative Personnel."
,@LauraFinnegan2,Laura Finnegan,144,41,89,"1,624","Nurse in the HSE...Live life,love it "
,@tyyoyoisback,Stephen lingerfelt,145,54,196,314,London high school junior future nurse
,@RichmondNurse,Christina Richmond,168,3,56,"1,331","I'm a wife, a mom , and a hospice nurse. Busy busy all day long"
,@Karemoana84,Karrie B,146,22,91,"2,194",Nurse/APmummyto3/wife/newishbabywearingenthusiast/stillpramobsessed
,@nedyal1,Layden,104,15,36,"1,732","ASL,,,,, nurse at heart!!!!!!"
,@ishkayME,ishkay olleres,149,74,168,"1,755",Registered Nurse.Proud Mom.Book Lover.Couch http://t.co/0WEpQ9sZKH Addict.Food Lover.Long Distance Runner. Love me like you do..if you Hate me FU! :b
,@brittany_p09,Brittany Hollimon,139,44,103,"1,738","Nurse.southern miss golden eagle. i love my Lord Jesus Christ, my family and friends, and my pups."
,@RezinaKhan,Rezina Khan,112,34,136,"1,885",2nd year student nurse!
,@Tokyo2Paris,Gretchen B,150,76,177,749,Hi! Im Gretchen. I am registered nurse with a passion for fashion. Check out my fashion blog Tokyo to Paris inspired
,@Mary_Weems,Mary Weems,139,59,262,"1,613","Christian, Wife, Mother, Nurse, Lover of Music. Growing to be more like Jesus!!"
,@BethAust1,Peake's Harmony,121,26,92,773,"Beth is a Registered Nurse, Board Certified Health Coach and Independent Young Living Distributor. She offers workshops, one on one coaching and Reiki."
,@AmirAlcazaren,Johnson Alcazaren,102,33,111,"1,069",Businessman / KPOP Addict / Philanthropist Wannabe / FoodLover / Traveler / Skilled Worker / Nurse N/O Contact: majenxia18@gmail.com http://t.co/CpEYmATu
,@Sare_brew,Sarah Brewer,172,48,201,"1,555","21. Nurse. I trip on flat surfaces, push doors that say pull and laugh at lame jokes."
,@kkraemer92,Kelsey Kraemer,112,155,133,"1,018",University of Michigan// School of Nursing// ZTA // Cadence Modern Dance Group
,@Rayveneclipse,Barbara,134,12,30,"1,565","Cardiac Nurse, a Great Mother, Carer. Can't stand dirty people, whether it's in body, mind or soul."
,@RatchetTwit,Nurse Ratchet,137,3,13,"1,093","The Hood, The Sad, The Fugly... We Report Public Ratchetness Found On Twitter. #Ratchet #RatchetHoes"
,@EmilyBrasmer,xo Emily xo,157,102,469,687,"| 18 | GVSU Freshman | Nursing Major | Addicted to music, life, and makeup. | Follow me on Instagram @Emily_Brasmer |"
,@cedros1,CEDROS NURSING,145,1,13,"2,058",
,@aris3103,,148,60,58,223,Eggs of the licensed practical nurse_(__*)_._.:*__ Hasegawa couple2 years 9months
,@marisol_cebu,marisol b,108,13,31,"2,312","Mom & wife, accidental nurse, writes for money, certified Cebuana"
,@ch3yxo,chey,120,38,95,369,Nurse // living life // dog lover // country music 
,@KirstenBurden13,Kirsten Burden,189,284,344,905,ONU class of 2017. Softball. Nursing major.
,@saralou1912,Sara Waterhouse,140,18,147,"1,453","Mum to my two gorgeous girls, work as a nurse with a fab team, love to craft in my spare time, when I get any!!"
,@monalizadas,monalizadas,174,39,94,"1,835",nursing student:)---19 years old:)
,@tonyacatoe,Tonya Catoe,116,29,115,"2,414","I am a friend, a wife, a mother to a dog and cat, a nurse that wants to make being sick not so scary.That, my friend... is who I am."
,@4_Kesper,Four Kesper,171,25,28,735,"XII Nursing Fighting for UAS,UPK,UTK,UN Finally we have to GRADUATED!!| This Is Us and We are Different!"
,@Azizah_Maulidiy,Azizah Maulidiyah,138,8,8,"1,092","Quotes, Nursing and Health, Conservation, Family lover, WWF, Photography, Long live learner."
,@misspe16,Phoebe Shires,182,23,353,"2,212",I'm a second year nursing student who watches too much television and is way too emotionally invested in St Kilda Saints and Doctor Who
,@adrianrathbone1,Reason,190,12,46,325,"labour supporter but only just ,a nurse ,fed up with negative politics ,scroungers do one,far left and far right grow up and do one work together as one"
,@3babeslin,Christina Lin,169,18,30,990,"Wife, Mom to 3 kids, Nurse, Author of http://t.co/6O5EDqh1IP. Trying to live each day to the fullest with happiness and purpose."
,@lindaward15,Linda Ward,154,83,76,"1,919","Retired Nurse & Health Visitor. Disability Officer for Ashfield Constituency Labour Party. Passions, people, politics & animals"
,@NurseEdRandall,Edward Randall,162,204,320,912,2 years qualified emergency admission nurse. Former chair of the newly qualified forum trained at the University of Nottingham. Supporter of #hellomynameis
,@MissJackie14,Miss Jackie,186,77,203,"1,626","I'm a proud mother of two beautiful adult children, a retired nail technician and currently a psych nurse for SUNMOUNT in Massena! Just bought my first Harley!"
,@ElectDrWilson,Donna Wilson,138,294,145,406,"A Proud Liberal, RN, PhD, & Professor, Faculty of Nursing UoA."
,@katrincastillo,katherine castillo,171,129,212,"1,641",Registered Nurse | Ambivalent | Weird | Awesome since 1992
,@HisThickLilBaby,VanillaCupcake,103,57,116,645,"@histhicklittlebaby Instagram, Class Of 2014 , ThickShyt , Geminis Do It Better , Single , Nursing ,"
,@mybotiqueclinic,My Botique Clinic,156,241,940,157,"The My Botique Team is made up of cosmetic physicians, nurses and skin therapists. Our medical team has over 30 years of combined injecting experience."
,@Striker0108,Infidel,177,231,325,41,"Conservative. , 2nd amendment, God Bless America. Air Force veteran. (noncombat), former firefighter, ER nurse, diehard WVU fan. LET'S GO MOUNTAINEERS!!!"
,@JadanSnow,Jadan Snow,121,85,36,76,"Army Veteran , ER Nurse, Adrenaline Junkie, Naughty BadAss Milf of the internet. I love 2 play Naughty in the Swinger Lifestyle & share my adventures-18 & Over"
,@laandrei14,Lauren Garcia,139,79,350,"1,171",Actress. Adventurer. Nurse. Burrito Huntress. JohnsonTalentAgency @JTA_talent
,@carly2036,The Carlsta,124,26,58,"2,362","Nurse by day, killer by night....I love crossfit, thai boxing, paleo and clean eating!!"
,@nan_chayR,Nancy Rorong,125,2,154,"2,226",I'm a nurse..in Hospital Prof .Dr R D Kandou Manado
,@scvoels1996,Sarah Voels,118,83,677,383,"Certified Lifeguard, Swim Instructor, and Nursing Assistant Certified.Woodinville High School Class of 2015.Cali born, Washington Raised.18"
,@canadaidol,Leonard Laing,121,11,37,"2,208","I am a 45 year old widower with 3 children. 11,13,14. I am a nurse. I love music. All Music. Still waiting for life to happen.Thank you Miley Cyrus."
,@Amirsayyed68, Yaman H. Kayhan ,142,9,"1,392","1,747",Marmara University/Faculty of Health Sciences/Nursing Department Carpe Diem-narm
,@PrettyGyrlAsh,Ashley Magby,199,79,133,"1,845",#NAME?
,@IamzeeyahRN,Jeyah Marie Rosit,141,7,35,886,Registered Nurse Beautiful Conqueror I love to travel much Ε
,@nikkiparfs,Nikki Par,191,1,0,"1,876",A nursing student.
,@ajenson78,Amy Jenson,147,46,176,"2,086","Mother of 2 awesome teenagers, wife, nurse, and child of God!"
,@nurseyjo5,Joanne Pearson,100,38,62,"1,860","Recovery nurse, Owner of 'Something a little bit Different', Mum to my gorgeous kids and general crazy kind of Yorkshire lass whose living in Wales!"
,@jennygalvez1014,Jenny Galvez,183,67,77,466,Registered Nurse. Lovely and humble. Loves to shop. Family-centered. God as my one and only King. 3
,@Charliecharli4,Charlyn Jackson,113,5,81,166,A Nurse..... but first coffee lovers 
,@daisybassan,daisyda_flower,107,24,69,495,"I'm a mother,daughter,friend, your young nurse. living life as it come. Success is always the goal."
,@DeApril123,De' Aprilia Tiku,119,40,149,235,Want to be successful and become a professional nurse and make parents happy 
,@jody_leonard,jody leonard,170,45,82,"1,796","follower of Jesus, wife, mother, nurse"
,@maxineSTNHV,Maxine,115,56,220,"1,138","Nurse, mom, wife, friend. About to embark on the great adventure that is Health Visitor training. All views expressed are my own ."
,@suzanneevans3,suzanne evans,122,69,141,"1,627","A Registered Manager of a nursing home which specialises in dementia. I love living a vegan life in Devon with my family, dogs and cats."
,@schuyler_wendy,Wendy Deann Schuyler,161,51,129,668,"Wendy Schuyler, Hospice Nurse, Plexus Ambassador #423352 @ Plexus World Wide, wendyjerry@q.com"
,@kdkiley,Kristine Kiley,149,134,158,"1,290","Quit teaching, quit nursing school, now selling the products that changed my LIFE and able to stay home with my kids! http://t.co/KZpQJGfEa3"
,@BCSJARN,BCSJARN,161,76,170,791,Nurse at Large St. John Ambulance | Volunteer | Critical Care RN | Views are my own
,@sarahprescott12,sarah,173,5,18,"1,083",Ever so slightly crazy nurse
,@vanessamkent,vanessa wearmouth,111,25,145,"1,729",Mom to blake and miss ella. Wife to big c. Nurse.
,@socks65,Socks,139,13,159,"2,366",Juggling 2 careers as a Registered Nurse & Flight Attendant. Inspired to make a difference in the lives of children. Travels every chance I have. LOVES Sports.
,@loisemilyjade,Lois Richardson,185,43,183,"1,067","Im 20 year old. live in my own house.i work full time as a nursary nurse :), I work hard and play harder :) x"
,@lindsey908,Lindsey Derge,115,55,201,"2,375","L&D; nurse, married to my best friend, enjoying life :)"
,@BabyNursing,Baby Nursing,187,1,0,82,
,@alex_sheba,alex k sheba,178,215,294,204,@psycosocial counseling nurse web www.alex sheba@gmail.com faceb
,@WebbCiarra,Ciarra Webb,130,58,403,924,"Mother, Wife, Nurse, Business Owner"
,@ConnieSebastia5,Connie Sebastiano,116,17,150,50,senior enrolled nurse.soldier.mother.
,@stephwaje,stephanie waje,130,9,43,"2,167",Im Stephanie Waje. Nursing Graduate. and a Fan of John Lloyd cruz. :)
,@IAMLandyDiamond,Landy Diamond,129,169,669,736,Model. aspiring Actress. young entrepreneur. nurse
,@AneeKaye,kaye anee tinguban,180,15,50,51,Staff Nurse at St. Pauls Hospital iloilo
,@QCElaboratories,QCE Laboratories,171,172,444,147,"Devoted to promoting #woundcare #healing with top of the line OTC products. We package specifically to better help the #patients, #nurses and #facilities we _"
,@Sozzypops,Sally B,102,20,38,"2,444","Mum, nurse, chocoholic and technophobe..."
,@kats_xx,Kat,186,120,606,912,"Student Mental Health Nurse, mum to 3 kids, 2 dogs and 1 husband. all opinions are my own."
,@sacmedtraining,sacmedtraining,159,24,71,"1,247",Become a Certified Nursing Assistant in 19 1/2 days. http://t.co/flnvPcLRIB
,@solid_ron,ROMIL M. CASTRO,141,31,88,"2,063",Father - Husband - Operating Room Nurse
,@emilywilliams09,Emily Williams,142,110,220,"2,395",Registered Nurse. Coffee Addict. Hob Lob Snob. Livin' the Dream. ADPi Till I Die!
,@luckiebyrd,luckiebyrd,100,29,53,"2,628","Nurse, wife and mom."
,@jennywoolstencr,jenny woolstencroft,179,139,248,"1,554",student nurse .... pretty much a super hero
,@AlexReichart,Alex Reichart,134,47,253,"2,261",Im alex ! 21 Canadian_ music is for real my life. Becoming a nurse. Nature and lover of life. Love you all!
,@62157Am,Antoinette. Crawford,155,48,230,174,"Wife , Mother Grandmother . nurse i have a deep faith _"
,@funnygirljojo68,joanne keegan,102,17,140,"2,096",facial aesthetic nurse practitioner. Married to cosmetic dental http://t.co/9sSswlZFbD
,@nurse_dylan,dylan nurse,196,76,159,"1,046","Hockey is my life, RC hockey, evolution AA 2014-2015"
,@Ashlene7,Ashlene McKenna,148,31,78,"2,270","26 years old, ITU staff nurse currently fliting between my job in harlow, essex and my home in East Kilbride Scotland"
,@LindzFord231,Lindsay Crockett,121,77,233,"1,795","Wife, crafter and future nurse."
,@kayceepete,Kylie,164,19,122,"1,164",Don't piss me off. One day I will be your nurse.
,@alohmann,Amy Lohmann,177,29,205,"2,510","Wife, mommy, Pediatric Nurse Practitioner and generally quite happy!"
,@liveorganic413,Lindsay Pemble,103,38,97,652,Nurse Practitioner in Cardiovascular Medicine and Certified YogaNurse motivated to holistically promote health and prevent disease
,@ryanna21,Ryann Kreilich,161,78,361,"2,395","entrepreneur, wholesome, fun loving Momma to 3 beautiful girls. Fulltime nurse, couponer, and kid at heart"
,@ShubhamNursing,Shubham Nursing,151,24,288,963,
,@bidik2324,Juinna Mahinay,199,20,41,616,"Neonatal Intensive Care Unit Nurse. Dog person, bookworm, introvert. Would love to see more of the world soon!"
,@stefaniaRN,Stefania Di,165,24,64,"1,508",Registered Nurse...mother...friend...tear holder...hair stylist...animal lover...traveler...explorer...
,@krystl_greene,Krystal Greene,149,85,72,"2,203",Nursing | Southern Adventist University | Born and raised in the Florida Keys | Just taking life in one day at a time
,@missmeltee,Melanie Turner,119,21,88,"1,144",I am a nurse by day and a photography/ fashion/ MAC Makeup lover by night 3
,@Angelgrace530,Grace Hoey,172,11,91,"2,384","Retired disabled nurse, living with my soul mate."
,@PalatiumCare,PalatiumCare,117,86,79,"1,714","PalatiumCare is an affordable, reliable wireless nurse call system which empowers Senior Living Communities through innovative reporting & proven technology."
,@cdborden,Cdb,149,22,108,"2,396","peds nurse lady loves animals & caring for sick kids, flying since born, been lots of places, want to go more. 5',46 blonde, overrun with elderly family flyboys"
,@call_me_maia,Maia Alforque,142,45,106,"2,098",i am no good in writing but i love to write. i dont like changes but i am not afraid to face it. i am a nurse. bubbly. gullible. fierce. i love to love 3
,@canisp44,Rachel Campbell,146,33,55,632,Mother/IBD nurse/ scatter brain. ....
,@t34nic,Tam Nic,146,18,256,"1,851",I'm the nurse DAMMIT!
,@indrajinger,ishu jeengar,126,17,100,792,i am from jalore !! i am study at global hospital school of nursing at mount abu !! i am single !!
,@Stef_STL,Stefanie Struckhoff,100,44,183,"1,703","I am an ICU nurse, I love my job! I am a die hard ST. LOUIS CARDINALS fan! I live in the best baseball town out there!!!!"
,@Barnabas_Free,Ginger hair nurse,117,19,85,685,"I'm so proud, time to scream it out. I was born this way !!! Feel in love with MP... A little bit crazy. ..."
,@cheapseatsinger,T.J. Manley,109,90,138,"1,695",I think I'm done nursing the patients. It can wait one night.
,@tropangjhu,christopher tagudin,124,20,164,"2,063","nurse,jolly,friendly :)"
,@emi_m,milie,123,12,85,"2,402","Daughter, sister (to 3 brothers! it says a lot), the best of friends, traveler, nurse and more to come I hope!"
,@rchristian1984,Rachael Touma,140,40,68,"1,303",im a nurse. i love my husband... and my beagle.
,@RedAppleHealth,redapplerecruitment,169,214,853,"1,030","We provide bespoke #recruitment service for #healthcare professionals, for #RGN's #RMN, #HomeManagers #Nurses.#Nursinghome and #carehomemanagers"
,@mcknurse1,mckroder,178,94,335,"2,193","Wife, mother of three, urgent care nurse"
,@ER_Resident,ResidentER,137,166,82,"1,117","Looking for lines, avoiding pelvics, dumping on medicine and flirting with nurses"
,@mandyg314,Amanda Gonzalez,181,56,93,"2,429","Wife, sister, daughter, nurse, and mommy :) I love my life, family, job, and GOD :)"
,@wlvirtue,LYDIA VIRTUE,174,23,100,"2,132","Certified Nursing Assistant, HHA/RNA."
,@DafnettHicks,Dafnett Hicks,150,29,24,"1,638","graduated nurse, Fiance, animal lover, traveler, dancer, new yogi."
,@spinningrn,Deborah Smith,150,69,162,"2,432",A registered nurse and fiber artist. Own a yarn store.
,@Sammyy2013,Samiha,104,48,114,132,Muslimah| Nursing Student| 20| New account...
,@MyMitchiko,Michelle Moyco,118,43,488,"2,074",Mother of one and praying for more. Registered Nurse. In love with JESUS.
,@DDLeeds,Deanna Leeds,133,11,50,"2,006","I am a 40 year old wife, mother, daughter, and gastroenterology nurse. I love life and try to live in the moment. Life passes by SOOO freakin fast!"
,@DMendez86,Darryll Mendez,155,25,29,"2,029",I'm new to this lol but I'm 26 years of age. I play guitar. I use to/occasionally skateboard. I like to draw. Im studying as a male nurse. =)
,@deckere1993,Emily Decker,128,40,178,867,I am a nursing major at HLGU. I am in my fourth year of college. I have a great family and a great boyfriend!
,@Aleshaqpgpc,Alicia Virgen,190,46,110,"2,030","I am a Registered Nurse, Clinical Applications Specialist. I train nurses in software apps. I travel throughout the US most weeks. 2 cute dogs and hubby."
,@PhillipDella,Phillip Della,143,166,255,309,"Academic, Researcher & Nurse. Interests include Clinical Safety & Quality, Int'l Education, NP, Policy & Regulation. Prof & Head of School N&M; @CurtinUni"
,@NursProfessor,Nursing Professor,154,114,187,"2,184","My goal is to promote high quality learning experiences for students and low stress, gratifying teaching environments for those who teach them"
,@Josie_Murphy,Josie Murphy,117,51,87,"1,586","Nursing, Dancing, Tattoos, Family, Friends :)"
,@mizzoctavia,gladys,138,60,163,"1,533","Nurse Manager, event coordinator, writer, involved in my community, i love God and i love my church. i love my family as well...."
,@burkett,Tiffany Kimbro,143,46,101,"2,017",A Christian A high school coach's wife An Alpha Delta Pi alumna A nursing student A Bama fan A TROY alumna
,@joypeach3,joy,104,10,26,"1,608","Mom, Nurse, Grandmother"
,@mownettey,monette ba̱al,124,16,85,"1,988",loving daughter.faithful partner.understanding friend.hot mama.caring nurse.good citizen.bitch-hater.beach-lover.sleepyhead.a playful dude.
,@ICAT_IHPE,IHPE,114,63,67,"1,554","Healthcare Advance Training for nurse and care worker, employed in The USA, Canada or Australia. Cooperation under the MOU with BNP2TKI No:B.149/KA/IX/2010"
,@ahmed09812332,Ju St Ah Med,165,290,375,200,"Ahmed Hassan ,, 19 yrs ,, Faculity of nursing"
,@wizewendy,Wendy Snider,109,14,35,"2,132",Just a nurse that loves movies in her off time ... and owner of two insane dogs :)
,@deejayJonnyMac,DJ Popeye,129,9,171,"2,050","yup, been workin in nursing for 7 years, gonna be a personal trainer again too, possible med schol, now running my djing/photography biz, and I model too"
,@MeyVivit,Vivit Mey Adelard,145,16,73,616,"^ I'm wife, I'm Mom and I'm Nurse ^"
,@poetryraindoehl,PoetryDoehl,119,53,61,"1,817",studying at the university of regina to become a nurse never really on here but i wanted to put something on my bio ^_^
,@spartain_1,Sarah Partain,113,26,89,"2,368","woman, mother, daughter, sister, wife, cousin, nurse, friend"
,@katrinasim,katrinagracesim,141,9,102,"2,087",a nursing graduate/ a clerk/ 6th child of mr. & mrs. sim/ with 7 siblings & 2 beautiful niece. :) life is too short to be wasted stay happy and inlove. :)
,@livemore406,Summer Bowers,104,123,142,434,Healthy Coffee Drinker  Wife and Mother Entrepreneur Nurse Gardener Lover of Life _ Friend Homeschooler Fitness Coach Montana Sweetheart
,@LaurelBayCare,Laurel Bay,119,5,7,786,Laurel Bay Nursing and Rehabilitation Center is located in Keansburg NJ and holds 123 beds.
,@Shelby_Kristina,Shelby Rosser,153,78,136,139,Shelby. 23. Certified Pharm. Tech. Working towards nursing school _
,@mkraasch,Melinda Raasch,126,16,220,"2,403","i'm a nurse in good ol' indianapolis! love pacers, colts, vegas, and all things traveling! have a good day!"
,@escondido_care,BrightStar Care,118,2,1,204,BrightStar Home Care of Escondido and Poway provides 24/7 trusted and reliable in home support for Seniors to Kids. All care is supervised by a Registered Nurse
,@AkoyaAcu,Corinne Kohrherr LAc,156,227,347,"2,239","Acupuncturist, Nurse, Herbalist, Cancer Survivor and Eternal Student"
,@monicpanci,Monica Lauren,154,89,205,"1,176",24 June 1993 Nursing Academy @ AKPER KESDAM I/BB'11 | Padang *fRiEnDsHiP iS EvErYtHiN9* In Relationship with @YosantaraPutra :*
,@Princess_Ariel5,Marisa Bonilla,135,50,80,"1,590",#God1st #Ife&Marisa; #Nurse
,@marykenfmc,marykenfmc,168,17,48,"2,509",nurse over 30 years
,@edraagyn,Eric Nygaard,179,37,97,"2,333",Avid Muskie and Ice fisherman. Undergrad at UWO. Nursing major.
,@CaptainHook0827,stephenkazinski,140,27,207,"1,657",nursing school or pre-med?? im stuck on what to do
,@emlewis96,emily lewis,188,100,97,850,19.southwales.student paediatric nurse. instagram- emilylewis96
,@chi_1109,chichi onyemachi,136,42,114,"1,549",Child.Daughter.Sister.Girlfriend.Nurse.Midwife.Corper.Beautiful in and out.Uniquely Me...Instagram; @nursechi
,@ldarbyshire1990,Laura Darbyshire,169,74,196,"1,604",Student Nurse passionate about politics and representation. For last year's words belong to last year's language And next year's words await another voice.۝
,@lypftStudents,LYPFT St AHP & Nurse,180,73,172,148,#Hellomynameis #AHP & #Nursing students training with #LYPFT Tweets by @ajm398
,@nadyaelvira_,Dea,133,106,68,904,"you just dont know it || @NadYeol_ my first acc .... Before you judge me, make sure you're perfect..|| Nurse"
,@joyfili,Alice,177,28,72,"2,402","Love my family & friends, yoga, and being a registered nurse!!! Into health and fitness-need to be healthy if I'm going to enjoy this thing called life!!"
,@scooby79_2011,marie Milton,119,31,97,"1,652",To make a difference in the world ..... each day at a time... I love being a nurse
,@docdaw54,diane,197,45,68,"1,820",nurse/midwife P/T lecturer Uni Sth Aus. Avid outlander fan and all things connected with this series. Twitter newbie
,@sareyman,Sarah,122,28,173,"1,600","nurse, cyclist, book lover, enjoys taking photos"
,@SolaceHealth,Solace Healthcare,108,70,166,"2,230","Solace Healthcare provides exceptional physical therapy, occupational therapy, speech therapy and nursing services to children and adults in the home."
,@friendsoncall,Michelene Cleary,188,43,56,"1,886",We're touching hearts in times of need by visiting people in medical facilities and nursing homes when their family and friends cannot be there.
,@beckasheffle,Rebecca Elliott,147,39,121,"1,164",proud nurse :) undertaking acute care degree. married to lovely man :) mum to edward !! thoughts on here are my own.
,@PasticheKat,Katharine Feight,182,61,75,"2,290",Mom to two boys. NICU Nurse. Photographer. I love my crazy life!
,@rykamcmahan,marijke mcmahan,136,28,130,"1,259","mom, wife, soccer player, soccer coach, nursing student"
,@bebrilliantUN,Nursesbeingbrilliant,177,148,47,261,The account for the University of Northampton nursing programme.
,@breegirlrn,Aubrey Albalos,119,40,153,"2,150","i am just me -- Wife, Mom, Nurse, Coach, WOMAN-- i love life and want to enjoy every single second!"
,@BiSexyalCupcake,BellaBrutal,189,5,59,"1,891","aspiring writer. going to school to be a nurse, love music and friends and a webcam actress. add me http://t.co/z4w5QM1Y0y kkkthnxbaii ^_^"
,@KatieBliss621,Katie Bliss,103,66,80,912,"Almost a nurse, 21, love my dog , and love the outdoors."
,@nikkib221,nikki bentley,137,79,50,"2,246","Wife, mom to 3, nurse, and most importantly child of God."
,@ChristianpsychJ,Jean-Marie,198,35,53,"1,186","Psychological Counsellor BPsych(Hons), Dipl (Nursing).Own practise and Case Manager at a drug rehab centre. Founder of Soloparenting, support for single parents"
,@lmcbride682,laura mcbride,175,55,120,"1,535","20 years young, headin off to liverpool to be a nurse in march and loving my lovely family and friends :)"
,@djd2266,Debbie Dionisio,157,140,215,218,Nurse who believes cannabis is a much safer way to medicate.
,@earths_child49,Brittany Reid,117,12,62,204,This amazing 23 year old trying to make this world a better place. #nerd #nursing #swirler #falcons #braves #hawks #dawgs
,@iyatongco,iya tongco,193,61,174,"1,725",Registered Nurse// volunteer instructor// medic// ADVENTUROUS// GiRL yet 0ne of the BOYS :))
,@LeahSuzanne13,Leah Suzanne Smith,178,40,63,888,I'm Leah Suzanne Smith! I'm dating Aaron Clark! My major is nursing at JCJC!
,@Farhan_Rokhimi,fharhan,194,100,204,"1,323","Stop saying I Wish , Start saying I Will Nursing Academy of Notokusumo '11 || Yogyakarta"
,@jmikewms,J. Mike Williams,137,22,59,727,"Retired Navy 28 years as HMSC, Retired Registered Nurse at VA Medical Center, Beckley WV"
,@jcmj1,Julia Mathias-Jones,144,93,184,"1,694",Paediatric Continence Nurse Specialist - views my own
,@NursesNotesOrg,Nurses Notes,172,889,90,"2,115",We aim to guide nurses from studies to examinations to getting that dream job and other common issues relating to nursing. Mobile: +1650336877
,@chorleycarnival,CHORLEY CARNIVAL,171,653,337,"1,171","Chorley Carnival is back 7th,8th & 9th June 2013 http://t.co/X9ggIJpeEu Our chosen Charities for 2013 are cash4kids ,home-start & macmillan nurses"
,@ONEandonlyJETT,Jett Arney Figueroa,134,195,99,"2,060",a simple nurse with a simple dream
,@JanetWhitleyMar,Janet Femanon Martin,156,55,151,935,E/R trauma nurse with a flair for words and a warped a twisted way of looking at life/love and humanity...
,@ManamanaHi,Dr. Sharon Takiguchi,175,83,409,"1,684","Patient Safety Specialist. Writer health/medical articles. Doctor in Public Health. Nurse, Parent, Grandparent, Pet Lover."
,@mongwai1,Pastor Sam Mogano,153,158,820,"1,554","Mongwai Mogano,a Husband to Santa my Beloved Sweetheart,Father of three boyz,Teacher of de Word,Evangelist ,Author,Life and Leadership Coach,Nurse Practitioner"
,@kfc000n, 㯫௱_,198,105,416,473,lm student my ambition is high ..and my thinking touching the clouds. .
,@iamgregoreo,Gregory Staudinger,140,60,69,854,"planted in winter haven, fl; pursuing a career in nursing; passionate about music, futbol, community, and Jesus."
,@Rylie_Elodie,Rylie Tallant,123,33,45,"2,280",Future nursing school grad and YP4 fellow. I'll go back to France someday...
,@zee024,zahra alihassan,105,47,92,"1,195",I  music.composing songs.writer.read books.adventures.travelling.sports.blogger. a future registered nurse. =)
,@bethbiscuits,Beth Biscuits,105,9,35,"1,496","I'm a nurse in the operating theatres. I like reading, cooking, swimming and indoor rock climbing.I'm sure i like more than that but nothing comes to mind!"
,@nurselizzard,Elizabeth Martinez,134,94,498,"1,671",A jail nurse w/ more than 14 years jail experience & a heck of a gr8 sense of humor to go w/ it. Anyone who says they have seen it all has not been to jail!
,@DinaDinasto,Dina Stockton,115,19,123,"1,010","ER nurse, mom and health nut! I give credit to God who blesses me and holds me up till we meet face to face once again!"
,@delacruzcharlie,cHarLie deLa cRuz,116,44,52,"2,323","Proud Pinoy, young entrepreneur, nurse, teacher, philosopher, milllionaire, and a favorite son of God. I claim it all! :)"
